ID,X,Y
1,10.0,0.0
1,9.917900138232461,1.27877161684506
1,9.672948630390295,2.5365458390950737
1,9.269167573460217,3.7526700487937408
1,8.713187041233894,4.907175520039378
1,8.014136218679567,5.981105304912159
1,7.183493500977276,6.956825506034864
1,6.2348980185873355,7.818314824680298
1,5.183925683105252,8.55142763005346
1,4.04783343122394,9.144126230158124
1,2.8452758663103266,9.586678530366605
1,1.5959989503337932,9.871817834144501
1,0.3205157757165533,9.994862162006878
1,-0.9602302590768154,9.953791129491982
1,-2.2252093395631434,9.749279121818237
1,-3.453650544213075,9.384684220497604
1,-4.625382902408351,8.86599306373
1,-5.721166601221695,8.201722545969561
1,-6.723008902613166,7.402779970753157
1,-7.6144595836913425,6.4822839530778875
1,-8.380881048918404,5.45534901210549
1,-9.00968867902419,4.338837391175582
1,-9.490557470106687,3.151082180236209
1,-9.815591569910653,1.9115862870137255
1,-9.979453927503364,0.6407021998071323
1,-9.979453927503364,-0.6407021998071255
1,-9.815591569910655,-1.9115862870137188
1,-9.490557470106689,-3.151082180236202
1,-9.009688679024192,-4.33883739117558
1,-8.380881048918408,-5.455349012105485
1,-7.614459583691346,-6.482283953077882
1,-6.72300890261317,-7.402779970753153
1,-5.7211666012217,-8.201722545969556
1,-4.6253829024083535,-8.86599306373
1,-3.4536505442130814,-9.384684220497602
1,-2.225209339563146,-9.749279121818237
1,-0.9602302590768244,-9.95379112949198
1,0.3205157757165486,-9.994862162006878
1,1.595998950333784,-9.871817834144503
1,2.84527586631032,-9.586678530366608
1,4.047833431223929,-9.144126230158129
1,5.183925683105245,-8.551427630053464
1,6.234898018587334,-7.818314824680299
1,7.183493500977271,-6.956825506034869
1,8.014136218679566,-5.9811053049121625
1,8.71318704123389,-4.907175520039386
1,9.269167573460216,-3.752670048793746
1,9.672948630390291,-2.5365458390950835
1,9.917900138232461,-1.2787716168450665
1,10.0,-2.4492935982947065e-15
